row_id,branch_id,kappa_kg_m2,technology_maturity,flow_case,m_dot_NaK_kg_s,epsilon_case,epsilon,sink_case,T_sink_K,h_case,h_W_m2K,Q_NaK_W,Twall_K,A_exchange_m2,A_rad_m2,UA_W_K,M_rad_kg,mass_margin_kg,exchange_residual_W,radiation_residual_W,condition_status,evidence_status_per_input,rejection_reasons
T300_fd1p45_two__project_flow__NASA_surface_0p90__NASA_120_example__NASA_120_low,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_low,200.0,1580132.9924937414,538.6179478919078,375.0425054457044,375.0425054457044,75008.50108914089,791.3396864904363,3858.660313509564,2.3283064365386963e-10,-5.3551048040390015e-09,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p90__NASA_120_example__NASA_120_high,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_high,600.0,1580132.9924937414,551.9277843311054,339.54122730897,339.54122730897,203724.736385382,716.4319896219266,3933.5680103780733,2.3283064365386963e-10,2.1420419216156006e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p90__legacy_project__legacy_inverse,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,1580132.9924937414,416.1699155135301,1128.6826325713844,1128.6826325713844,11010.299080733856,2381.520354725621,2268.479645274379,0.0,9.313225746154785e-10,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,[]
T300_fd1p45_two__project_flow__NASA_surface_0p90__legacy_project__NASA_120_low,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_low,200.0,1580132.9924937414,538.8298206614115,378.852834925483,378.852834925483,75770.56698509661,799.3794816927691,3850.6205183072307,0.0,6.51925802230835e-09,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__project_flow__NASA_surface_0p90__legacy_project__NASA_120_high,T300_fd1p45_two,2.11,tested,project_flow,6.95,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_high,600.0,1580132.9924937414,552.0052465589806,342.9664733628856,342.9664733628856,205779.88401773135,723.6592587956886,3926.3407412043116,0.0,2.3981556296348572e-08,not_rejected_under_necessary_conditions,tested|project_boundary|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p85__NASA_120_example__legacy_inverse,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,NASA_120_example,200.0,legacy_inverse,9.755,1622000.000053536,417.49260831144943,1169.365485651816,1169.365485651816,11407.160312533466,2467.3611747253317,2182.6388252746683,0.0,-1.862645149230957e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|conditional_inverse,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p85__NASA_120_example__NASA_120_low,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_low,200.0,1622000.000053536,539.634708369718,404.5030692265709,404.5030692265709,80900.61384531419,853.5014760680646,3796.4985239319353,2.3283064365386963e-10,1.1641532182693481e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p85__NASA_120_example__NASA_120_high,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_high,600.0,1622000.000053536,552.3365774998585,367.929479129652,367.929479129652,220757.68747779122,776.3312009635657,3873.6687990364344,0.0,1.3969838619232178e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p85__legacy_project__legacy_inverse,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,legacy_inverse,9.755,1622000.000053536,419.43579521383174,1185.567444880321,1185.567444880321,11565.210424807534,2501.5473086974775,2148.4526913025225,0.0,-2.3283064365386963e-10,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|conditional_inverse,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p85__legacy_project__NASA_120_low,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_low,200.0,1622000.000053536,539.8362030850687,408.6095819615422,408.6095819615422,81721.91639230844,862.166217938854,3787.833782061146,2.3283064365386963e-10,-1.0710209608078003e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p85__legacy_project__NASA_120_high,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p85,0.85,legacy_project,225.0,NASA_120_high,600.0,1622000.000053536,552.4099485533318,371.64066727363564,371.64066727363564,222984.40036418138,784.1618079473711,3865.838192052629,0.0,2.0489096641540527e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p90__NASA_120_example__legacy_inverse,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,NASA_120_example,200.0,legacy_inverse,9.755,1622000.000053536,414.152930192638,1142.5306363615985,1142.5306363615985,11145.386357707393,2410.739642722973,2239.260357277027,-2.3283064365386963e-10,-4.656612873077393e-10,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|conditional_inverse,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p90__NASA_120_example__NASA_120_low,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_low,200.0,1622000.000053536,538.6179478919078,384.9795850999676,384.9795850999676,76995.91701999352,812.3069245609316,3837.6930754390683,0.0,-5.3551048040390015e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p90__NASA_120_example__NASA_120_high,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,NASA_120_example,200.0,NASA_120_high,600.0,1622000.000053536,551.9277843311054,348.53766950601045,348.53766950601045,209122.60170360625,735.414482657682,3914.585517342318,-2.3283064365386963e-10,2.1886080503463745e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|other_system_anchor|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p90__legacy_project__legacy_inverse,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,legacy_project,225.0,legacy_inverse,9.755,1622000.000053536,416.1699155135301,1158.588067452469,1158.588067452469,11302.026597998836,2444.6208223247095,2205.3791776752905,0.0,9.313225746154785e-10,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|conditional_inverse,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p90__legacy_project__NASA_120_low,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_low,200.0,1622000.000053536,538.8298206614115,388.8908725965037,388.8908725965037,77778.17451930074,820.5597411786227,3829.440258821377,0.0,6.51925802230835e-09,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
T300_fd1p45_two__energy_closure_flow__NASA_surface_0p90__legacy_project__NASA_120_high,T300_fd1p45_two,2.11,tested,energy_closure_flow,7.134146337,NASA_surface_0p90,0.9,legacy_project,225.0,NASA_120_high,600.0,1622000.000053536,552.0052465589806,352.0536704540487,352.0536704540487,211232.20227242922,742.8332446580428,3907.1667553419575,0.0,2.468004822731018e-08,not_rejected_under_necessary_conditions,tested|conditional|other_system_anchor|project_boundary|other_system_anchor,[]
P95_WG_fd1p45_two__project_flow__NASA_surface_0p85__NASA_120_example__legacy_inverse,P95_WG_fd1p45_two,1.57,built_not_tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,legacy_inverse,9.755,1580132.9924937414,417.49260831144943,1139.1818644271973,1139.1818644271973,11112.71908748731,1788.5155271506999,2861.4844728493,0.0,-1.862645149230957e-09,not_rejected_under_necessary_conditions,built_not_tested|project_boundary|other_system_anchor|other_system_anchor|conditional_inverse,[]
P95_WG_fd1p45_two__project_flow__NASA_surface_0p85__NASA_120_example__NASA_120_low,P95_WG_fd1p45_two,1.57,built_not_tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_low,200.0,1580132.9924937414,539.634708369718,394.06205007940076,394.06205007940076,78812.41001588016,618.6774186246593,4031.3225813753406,0.0,1.1641532182693481e-09,not_rejected_under_necessary_conditions,built_not_tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
P95_WG_fd1p45_two__project_flow__NASA_surface_0p85__NASA_120_example__NASA_120_high,P95_WG_fd1p45_two,1.57,built_not_tested,project_flow,6.95,NASA_surface_0p85,0.85,NASA_120_example,200.0,NASA_120_high,600.0,1580132.9924937414,552.3365774998585,358.43249621739307,358.43249621739307,215059.49773043583,562.7390190613071,4087.260980938693,-2.3283064365386963e-10,9.313225746154785e-10,not_rejected_under_necessary_conditions,built_not_tested|project_boundary|other_system_anchor|other_system_anchor|other_system_anchor,[]
P95_WG_fd1p45_two__project_flow__NASA_surface_0p85__legacy_project__legacy_inverse,P95_WG_fd1p45_two,1.57,built_not_tested,project_flow,6.95,NASA_surface_0p85,0.85,legacy_project,225.0,legacy_inverse,9.755,1580132.9924937414,419.43579521383174,1154.9656192478844,1154.9656192478844,11266.689615763113,1813.2960222191787,2836.7039777808213,0.0,0.0,not_rejected_under_necessary_conditions,built_not_tested|project_boundary|other_system_anchor|project_boundary|conditional_inverse,[]
